donor_id,country_code,zone_id,center_distance_km,travel_time_min,transport_capacity_slots,transfer_cost_usd,route_feasibility_flag,cold_chain_quality_score,area_deprivation_index,area_education_index,area_language_mix
1,US,US-Z084,4.92,16,36,9.17,1,0.998,4,0.714,0.403
2,JP,JP-Z094,11.18,39,46,13.95,1,0.904,6,0.492,0.521
3,IN,IN-Z017,14.06,28,23,16.47,1,0.926,8,0.392,0.291
4,TR,TR-Z085,5.39,12,19,8.85,1,0.992,9,0.261,0.43
5,US,US-Z068,18.24,42,17,16.33,1,0.983,5,0.579,0.635
6,UG,UG-Z086,4.33,19,15,9.59,1,0.991,10,0.175,0.214
7,US,US-Z007,6.57,29,23,12.65,1,0.941,2,0.812,0.392
8,IN,IN-Z036,3.7,14,6,10.69,1,0.985,2,0.839,0.469
9,TR,TR-Z091,49.61,217,19,31.01,1,0.968,3,0.78,0.264
10,JP,JP-Z078,7.7,38,8,9.47,0,0.958,7,0.453,0.643
11,IN,IN-Z079,3.94,17,39,10.01,1,0.998,9,0.305,0.079
12,IN,IN-Z083,10.23,48,14,10.2,1,0.954,6,0.464,0.378
13,UG,UG-Z018,4.78,14,25,11.48,1,0.98,2,0.847,0.152
14,BR,BR-Z097,6.29,16,5,13.05,1,0.985,10,0.072,0.422
15,TR,TR-Z073,7.21,34,5,11.25,1,0.974,2,0.852,0.45
16,CN,CN-Z080,12.99,51,49,11.87,1,0.972,9,0.232,0.181
17,IN,IN-Z061,15.02,70,10,13.29,1,0.993,5,0.58,0.385
18,BR,BR-Z084,5.17,17,27,11.11,1,0.984,9,0.325,0.075
19,CN,CN-Z087,3.88,12,31,9.51,1,0.965,10,0.222,0.05
20,TR,TR-Z038,38.85,105,35,28.76,1,0.692,3,0.761,0.039
21,MX,MX-Z064,17.0,56,25,13.72,0,0.962,6,0.5,0.254
22,BR,BR-Z050,9.17,28,46,10.47,1,0.998,3,0.731,0.399
23,DE,DE-Z036,14.63,54,35,14.63,1,0.99,8,0.34,0.1
24,MX,MX-Z006,10.74,22,22,11.39,1,0.907,1,0.858,0.335
25,UG,UG-Z053,22.48,62,14,19.11,1,0.803,7,0.447,0.473
26,US,US-Z076,2.4,6,11,8.38,1,0.98,6,0.395,0.147
27,JP,JP-Z059,11.72,44,12,14.19,1,0.989,10,0.115,0.191
28,DE,DE-Z055,6.65,25,42,11.32,1,0.962,10,0.194,0.562
29,UG,UG-Z022,5.04,17,9,8.44,1,0.998,9,0.306,0.232
30,TR,TR-Z037,15.04,69,6,15.52,1,0.881,3,0.756,0.293
31,UG,UG-Z080,7.17,33,45,12.36,1,0.953,3,0.868,0.25
32,US,US-Z024,7.04,34,13,11.78,1,0.936,6,0.468,0.218
33,TR,TR-Z024,10.03,47,38,12.56,1,0.985,2,0.812,0.136
34,DE,DE-Z010,9.65,44,30,12.02,1,0.942,2,0.84,0.095
35,US,US-Z094,3.28,7,25,6.89,1,0.976,2,0.8,0.141
36,CN,CN-Z077,5.58,15,35,12.54,1,0.989,2,0.792,0.305
37,JP,JP-Z010,6.96,33,12,11.34,1,0.982,6,0.52,0.239
38,DE,DE-Z058,8.22,36,39,10.59,1,0.991,1,0.956,0.41
39,CN,CN-Z090,9.53,39,41,10.11,1,0.911,6,0.612,0.504
40,DE,DE-Z005,4.79,23,9,11.57,1,0.996,7,0.425,0.483
41,TR,TR-Z049,8.36,27,29,11.77,1,0.989,10,0.138,0.21
42,CN,CN-Z019,18.61,93,10,17.24,1,0.928,6,0.471,0.093
43,JP,JP-Z052,24.69,56,7,17.36,1,0.889,2,0.826,0.131
44,US,US-Z081,5.36,16,48,9.35,1,0.993,7,0.43,0.474
45,IN,IN-Z065,6.51,26,47,12.5,1,0.937,7,0.393,0.321
46,UG,UG-Z096,4.38,17,7,11.31,0,0.97,1,0.975,0.019
47,MX,MX-Z039,1.66,5,12,6.52,1,0.998,5,0.612,0.415
48,JP,JP-Z001,9.97,49,23,11.32,1,0.989,4,0.622,0.096
49,CN,CN-Z075,10.23,29,16,11.16,1,0.921,3,0.842,0.264
50,IN,IN-Z081,5.64,15,25,11.53,0,0.956,6,0.559,0.24
51,JP,JP-Z022,6.73,32,22,8.78,1,0.98,2,0.889,0.031
52,CN,CN-Z078,20.19,89,21,16.94,1,0.919,3,0.713,0.049
53,BR,BR-Z023,17.17,35,10,14.32,1,0.867,9,0.266,0.104
54,BR,BR-Z082,2.48,5,28,7.87,1,0.995,7,0.406,0.136
55,JP,JP-Z019,5.29,16,37,12.52,1,0.977,2,0.839,0.088
56,BR,BR-Z027,5.2,24,9,8.41,1,0.983,9,0.266,0.127
57,CN,CN-Z018,4.22,19,8,9.54,1,0.985,9,0.339,0.345
58,CN,CN-Z054,11.39,41,38,15.0,1,0.934,1,0.879,0.089
59,JP,JP-Z017,7.21,25,28,9.02,1,0.998,10,0.254,0.151
60,IN,IN-Z055,14.82,41,47,15.88,1,0.968,10,0.147,0.289
61,US,US-Z090,21.24,71,44,15.86,1,0.954,3,0.832,0.16
62,DE,DE-Z030,7.52,27,46,11.31,1,0.966,1,0.93,0.028
63,IN,IN-Z098,5.06,15,17,10.23,1,0.998,9,0.199,0.462
64,TR,TR-Z080,7.7,22,34,10.09,1,0.99,9,0.223,0.087
65,CN,CN-Z053,28.96,122,13,23.64,1,0.865,9,0.242,0.185
66,TR,TR-Z081,3.82,9,44,11.05,1,0.971,4,0.669,0.166
67,IN,IN-Z010,17.24,61,13,14.43,0,0.84,2,0.94,0.221
68,DE,DE-Z094,11.83,49,29,12.65,1,0.989,4,0.668,0.234
69,DE,DE-Z030,2.84,12,44,7.59,1,0.974,4,0.654,0.79
70,MX,MX-Z026,4.52,10,45,11.15,1,0.963,6,0.518,0.16
71,DE,DE-Z071,8.04,37,49,13.47,1,0.972,5,0.662,0.109
72,US,US-Z069,11.17,24,44,10.71,1,0.963,8,0.243,0.297
73,DE,DE-Z021,6.21,29,45,8.78,1,0.952,6,0.534,0.359
74,IN,IN-Z056,3.52,10,41,7.35,1,0.965,10,0.181,0.396
75,MX,MX-Z008,1.4,6,9,5.82,1,0.994,4,0.637,0.369
76,IN,IN-Z029,2.64,11,16,8.21,1,0.997,2,0.788,0.588
77,IN,IN-Z032,8.96,44,23,12.13,1,0.958,4,0.697,0.1
78,UG,UG-Z064,21.18,58,40,19.68,1,0.853,4,0.615,0.334
79,MX,MX-Z088,21.27,75,5,15.99,1,0.792,10,0.209,0.297
80,IN,IN-Z044,10.76,50,32,12.68,1,0.974,6,0.496,0.216
81,UG,UG-Z067,6.39,27,16,8.59,1,0.954,2,0.803,0.233
82,UG,UG-Z056,2.29,7,11,6.94,1,0.983,10,0.202,0.611
83,MX,MX-Z097,9.48,37,46,11.3,1,0.988,5,0.624,0.368
84,TR,TR-Z068,1.11,4,8,10.53,0,0.996,5,0.703,0.247
85,US,US-Z011,2.18,8,30,7.51,1,0.991,4,0.669,0.084
86,DE,DE-Z092,6.12,29,5,10.12,1,0.96,3,0.777,0.258
87,US,US-Z037,8.05,33,14,13.31,1,0.958,4,0.692,0.377
88,DE,DE-Z008,16.75,72,23,14.8,1,0.888,1,0.948,0.202
89,IN,IN-Z058,4.32,15,6,10.99,1,0.961,2,0.748,0.317
90,CN,CN-Z002,15.09,38,5,12.78,1,0.877,8,0.27,0.488
91,MX,MX-Z006,3.13,8,21,7.33,1,0.995,10,0.152,0.29
92,US,US-Z032,19.46,43,19,15.14,1,0.883,9,0.194,0.297
93,US,US-Z019,9.77,45,44,12.05,1,0.998,10,0.132,0.267
94,IN,IN-Z018,2.19,7,34,6.65,1,0.99,4,0.624,0.16
95,TR,TR-Z099,3.99,19,15,7.17,1,0.982,4,0.65,0.224
96,UG,UG-Z089,2.01,7,31,9.02,1,0.999,5,0.547,0.375
97,IN,IN-Z040,24.5,64,14,18.25,1,0.858,8,0.296,0.271
98,BR,BR-Z060,14.71,62,7,16.74,1,0.981,8,0.339,0.352
99,UG,UG-Z040,11.98,27,25,13.25,1,0.887,10,0.066,0.132
100,MX,MX-Z081,4.16,19,11,8.83,1,0.988,8,0.331,0.065
101,UG,UG-Z066,13.73,37,40,14.1,1,0.923,6,0.466,0.487
102,TR,TR-Z022,2.64,11,11,7.22,1,0.98,7,0.353,0.336
103,UG,UG-Z037,3.74,8,19,7.77,1,0.963,7,0.411,0.425
104,MX,MX-Z033,2.16,5,26,7.77,1,0.982,9,0.288,0.277
105,TR,TR-Z020,15.98,35,15,14.43,1,0.95,5,0.576,0.27
106,US,US-Z040,49.93,111,35,31.0,1,0.599,1,0.918,0.008
107,US,US-Z012,14.31,38,35,16.63,1,0.934,9,0.234,0.225
