donor_id,recency_days,typical_interval_hidden,frequency_365,time_months,days_until_eligible,overdue_days,days_to_next_donation,y_donate_30d
2181,23,133,2.7,27,33,0,115.0,0
3627,79,80,4.6,29,0,0,,0
4360,28,151,2.4,52,28,0,,0
1440,237,304,1.2,41,0,0,82.0,0
1864,37,74,4.9,1,19,0,7.0,1
2275,130,74,4.9,46,0,56,20.0,1
2691,362,318,1.1,5,0,44,24.0,1
3516,122,166,2.2,56,0,0,28.0,1
2742,52,61,6.0,21,4,0,,0
2561,22,138,2.6,40,34,0,102.0,0
4708,84,62,5.9,37,0,22,16.0,1
1525,6,62,5.9,34,50,0,57.0,0
2720,156,109,3.3,2,0,47,10.0,1
2678,74,56,6.5,56,0,18,9.0,1
2729,29,56,6.5,45,27,0,,0
3063,71,57,6.4,51,0,14,,0
3340,19,56,6.5,18,37,0,31.0,0
3298,125,115,3.2,15,0,10,20.0,1
2802,18,56,6.5,46,38,0,,0
1778,96,56,6.5,33,0,40,,0
1160,42,290,1.3,52,14,0,,0
4329,99,75,4.9,11,0,24,,0
4616,70,95,3.8,51,0,0,49.0,0
4134,69,56,6.5,29,0,13,7.0,1
2922,32,58,6.3,29,24,0,39.0,0
1339,82,98,3.7,8,0,0,,0
3336,46,56,6.5,1,10,0,,0
4865,99,121,3.0,30,0,0,,0
2008,43,56,6.5,43,13,0,15.0,1
1801,134,71,5.1,53,0,63,29.0,1
4149,18,56,6.5,10,38,0,48.0,0
4507,256,396,0.9,6,0,0,152.0,0
1860,74,89,4.1,45,0,0,,0
1961,58,56,6.5,1,0,2,2.0,1
1241,113,173,2.1,9,0,0,,0
4015,29,56,6.5,50,27,0,18.0,1
2946,105,106,3.4,52,0,0,18.0,1
2479,19,56,6.5,55,37,0,38.0,0
1838,52,56,6.5,43,4,0,,0
4274,60,105,3.5,57,0,0,,0
3419,148,162,2.3,16,0,0,10.0,1
2254,148,103,3.5,3,0,45,18.0,1
1605,84,82,4.5,42,0,2,,0
3534,99,70,5.2,2,0,29,23.0,1
2200,53,56,6.5,8,3,0,12.0,1
2326,11,56,6.5,30,45,0,,0
3708,25,62,5.9,57,31,0,25.0,1
2940,25,209,1.7,18,31,0,182.0,0
4270,11,118,3.1,59,45,0,,0
2235,10,56,6.5,3,46,0,,0
4388,63,116,3.1,6,0,0,38.0,0
4440,20,66,5.5,45,36,0,73.0,0
4826,32,56,6.5,51,24,0,27.0,1
2933,68,146,2.5,46,0,0,88.0,0
3963,146,205,1.8,54,0,0,53.0,0
2540,252,189,1.9,13,0,63,6.0,1
1158,17,56,6.5,15,39,0,30.0,1
4773,90,70,5.2,22,0,20,,0
4979,38,117,3.1,19,18,0,,0
1567,213,196,1.9,50,0,17,,0
4511,8,61,6.0,44,48,0,46.0,0
2419,30,77,4.7,8,26,0,27.0,1
1193,50,56,6.5,14,6,0,,0
3585,75,56,6.5,23,0,19,5.0,1
2091,253,172,2.1,25,0,81,3.0,1
3589,141,266,1.4,33,0,0,111.0,0
2505,82,84,4.3,1,0,0,,0
4044,4,200,1.8,1,52,0,230.0,0
2299,152,120,3.0,17,0,32,11.0,1
3753,93,56,6.5,53,0,37,26.0,1
2644,49,120,3.0,18,7,0,80.0,0
2442,367,308,1.2,52,0,59,,0
4406,7,87,4.2,25,49,0,55.0,0
3866,34,314,1.2,15,22,0,285.0,0
1751,86,56,6.5,51,0,30,27.0,1
1269,39,173,2.1,27,17,0,130.0,0
4382,9,96,3.8,56,47,0,101.0,0
3979,2,70,5.2,30,54,0,92.0,0
4952,71,96,3.8,9,0,0,,0
1820,70,56,6.5,25,0,14,,0
2717,70,75,4.9,34,0,0,6.0,1
2013,156,119,3.1,40,0,37,,0
3494,380,293,1.2,40,0,87,2.0,1
3781,40,59,6.2,47,16,0,,0
1441,4,56,6.5,11,52,0,,0
2178,34,60,6.1,15,22,0,18.0,1
1513,150,187,2.0,51,0,0,39.0,0
3516,148,117,3.1,29,0,31,7.0,1
2907,34,58,6.3,30,22,0,,0
2101,172,135,2.7,11,0,37,,0
4674,7,97,3.8,1,49,0,103.0,0
4540,214,195,1.9,17,0,19,14.0,1
4350,19,56,6.5,11,37,0,,0
3722,27,69,5.3,29,29,0,55.0,0
1317,87,65,5.6,46,0,22,,0
4183,21,56,6.5,12,35,0,50.0,0
1327,91,114,3.2,30,0,0,21.0,1
3106,44,110,3.3,59,12,0,65.0,0
2995,79,90,4.1,44,0,0,,0
4775,89,74,4.9,27,0,15,,0
4931,50,56,6.5,36,6,0,,0
1936,75,64,5.7,15,0,11,,0
3976,12,68,5.4,9,44,0,,0
1224,2,56,6.5,31,54,0,65.0,0
4720,79,79,4.6,25,0,0,21.0,1
1381,85,124,2.9,15,0,0,9.0,1
3382,558,407,0.9,34,0,151,22.0,1
4913,5,103,3.5,16,51,0,108.0,0
2328,2,110,3.3,23,54,0,,0
1769,29,84,4.3,33,27,0,,0
1130,71,56,6.5,29,0,15,,0
4734,64,88,4.1,32,0,0,18.0,1
3249,70,94,3.9,32,0,0,41.0,0
1786,823,645,0.6,16,0,178,,0
1744,40,77,4.7,15,16,0,,0
1273,52,114,3.2,21,4,0,,0
1674,33,87,4.2,28,23,0,,0
2256,8,56,6.5,14,48,0,,0
2018,188,224,1.6,58,0,0,,0
4515,213,164,2.2,21,0,49,,0
1648,164,169,2.2,24,0,0,5.0,1
2246,27,56,6.5,57,29,0,62.0,0
2373,114,276,1.3,35,0,0,161.0,0
4300,3,56,6.5,38,53,0,70.0,0
2971,45,143,2.6,43,11,0,96.0,0
1945,287,519,0.7,7,0,0,233.0,0
3059,8,56,6.5,31,48,0,43.0,0
4600,28,57,6.4,22,28,0,,0
1218,134,97,3.8,25,0,37,,0
1852,34,60,6.1,46,22,0,7.0,1
1304,86,56,6.5,42,0,30,21.0,1
2711,116,95,3.8,4,0,21,,0
4829,2,56,6.5,33,54,0,5.0,1
3586,116,131,2.8,59,0,0,20.0,1
1245,71,56,6.5,36,0,15,,0
4981,478,311,1.2,26,0,167,16.0,1
