date,hospital_id,dow,weekend,month,holiday,temp_c,rain_mm,flu_index,trauma_cases,scheduled_surgeries,donation_campaign,supply_shock,blood_type,stock_start,units_collected,units_used,wastage,stock_end,critical_stock,stockout_next_day,heavy_demand,heavy_demand_next_day
2020-01-01,Central,6,1,1,1,17.537652337744845,7.846071586393269,0.443917184907693,10,8,0,0,A+,67,3,11,1,58,0,0,1,0
2020-01-02,Central,0,0,1,0,20.15036970744323,3.5214020367416734,0.6978033070939224,4,24,0,0,A+,58,5,6,0,57,0,0,0,0
2020-01-03,Central,1,0,1,0,19.39663739399373,2.5064519839508304,0.6492783538060396,3,25,0,0,A+,57,6,8,0,55,0,0,0,0
2020-01-04,Central,2,0,1,0,17.622055341942772,6.685825448014527,0.6185729058453375,4,23,0,0,A+,55,6,8,0,53,0,0,0,0
2020-01-05,Central,3,0,1,0,17.044359284451495,3.075571352162873,0.5488897721405326,2,26,0,0,A+,53,4,6,2,49,0,0,0,0
2020-01-06,Central,4,0,1,0,21.231133695107943,6.916749560660052,0.663467778815994,2,22,0,0,A+,49,3,5,1,46,0,0,0,0
2020-01-07,Central,5,1,1,0,18.662378606454777,6.444953447922637,0.6552388283254215,6,9,0,0,A+,46,1,9,0,38,0,0,0,0
2020-01-08,Central,6,1,1,0,19.923977381946,4.248770250599729,0.6357224940823956,5,6,0,0,A+,38,5,7,0,36,0,0,0,1
2020-01-09,Central,0,0,1,0,18.96993474210136,2.8944684650024803,0.5714988823150859,3,22,0,0,A+,36,4,11,0,29,0,0,1,0
2020-01-10,Central,1,0,1,0,22.45547558574624,5.193902160307664,0.4843153716489236,6,23,1,0,A+,29,10,3,0,36,0,0,0,0
2020-01-11,Central,2,0,1,0,23.592573455680824,5.7461120928187865,0.5048989556541719,5,18,0,0,A+,36,2,9,0,29,0,0,0,0
2020-01-12,Central,3,0,1,0,23.735045331491914,17.731204977735892,0.6331527546620797,5,22,0,0,A+,29,6,8,0,27,0,0,0,0
2020-01-13,Central,4,0,1,0,21.37759016785513,1.322889763193518,0.5610953672741334,4,21,0,0,A+,27,3,8,0,22,0,0,0,0
2020-01-14,Central,5,1,1,0,20.095035440213227,19.10322742728198,0.6670791362989076,7,6,0,0,A+,22,3,10,0,15,0,0,0,0
2020-01-15,Central,6,1,1,0,25.98918744601307,4.853340818304855,0.6228660911682035,6,6,0,0,A+,15,4,3,0,16,0,0,0,0
2020-01-16,Central,0,0,1,0,26.483378209727327,3.5399079302018115,0.7169155433793761,6,24,0,0,A+,16,8,9,0,15,0,0,0,0
2020-01-17,Central,1,0,1,0,23.916172108868288,0.2081245260677448,0.5325415783765703,5,21,0,0,A+,15,6,3,0,18,0,0,0,0
2020-01-18,Central,2,0,1,0,23.78304245738312,11.84204777046192,0.5443245910663437,2,19,0,0,A+,18,4,9,0,13,0,0,0,0
2020-01-19,Central,3,0,1,0,28.86214632731697,16.541173786604446,0.5770093310760659,2,26,0,0,A+,13,3,7,1,8,1,0,0,0
2020-01-20,Central,4,0,1,0,17.330185978742833,3.5987035324778285,0.557644845810714,5,19,0,0,A+,8,2,3,0,7,1,1,0,0
2020-01-21,Central,5,1,1,0,30.09022529329372,1.093007664614802,0.6273244440752408,5,10,0,1,A+,7,1,9,0,0,1,1,0,1
2020-01-22,Central,6,1,1,0,22.289900742556675,5.169007979060997,0.6377230818036111,6,10,0,0,A+,0,3,11,0,0,1,0,1,0
2020-01-23,Central,0,0,1,0,24.047923257025857,1.876757068221054,0.6208926173526526,2,24,0,0,A+,0,10,8,0,2,1,1,0,0
2020-01-24,Central,1,0,1,0,24.34588272911592,1.1927989430202277,0.6210973763485216,6,22,0,0,A+,2,3,5,0,0,1,1,0,0
2020-01-25,Central,2,0,1,0,22.405620597326603,0.403142389756975,0.7381880171331348,5,27,0,0,A+,0,3,9,0,0,1,1,0,0
2020-01-26,Central,3,0,1,0,26.403524939516068,6.149170676155468,0.6351194526990639,6,22,0,0,A+,0,3,9,0,0,1,1,0,0
2020-01-27,Central,4,0,1,0,28.135174909380133,7.730589095323683,0.5946437461681439,8,24,0,0,A+,0,7,9,0,0,1,1,0,1
2020-01-28,Central,5,1,1,0,17.977839609044686,5.498160657825663,0.6331112228298155,5,11,0,0,A+,0,4,14,0,0,1,1,1,1
2020-01-29,Central,6,1,1,0,25.86187978695314,9.87522549140338,0.6187520714158956,4,13,0,0,A+,0,1,13,0,0,1,1,1,0
2020-01-30,Central,0,0,1,0,27.651384002565333,1.921353512997108,0.6161844953464954,7,17,0,0,A+,0,5,10,0,0,1,1,0,0
2020-01-31,Central,1,0,1,0,24.33655261435768,11.627247574514344,0.4998682228715088,5,16,0,0,A+,0,7,10,0,0,1,1,0,0
2020-02-01,Central,2,0,2,0,25.333218856084592,2.115006717468359,0.6608106468300683,2,22,0,0,A+,0,5,8,0,0,1,1,0,1
2020-02-02,Central,3,0,2,0,23.31706608336348,6.569942453132796,0.5905966266137496,3,16,1,0,A+,0,3,12,0,0,1,1,1,1
2020-02-03,Central,4,0,2,0,23.70460057601093,5.016996006126249,0.7062148905814153,1,27,0,0,A+,0,0,12,0,0,1,1,1,0
2020-02-04,Central,5,1,2,0,23.044894584154783,0.6727912473627801,0.5713586649540456,5,10,0,0,A+,0,7,10,0,0,1,1,0,0
2020-02-05,Central,6,1,2,0,23.131137640450955,2.4472314634642123,0.5476573378649956,10,10,0,0,A+,0,2,10,0,0,1,1,0,0
2020-02-06,Central,0,0,2,0,29.94746057531425,4.475602405730355,0.6860992125973109,5,16,0,0,A+,0,2,8,0,0,1,1,0,1
2020-02-07,Central,1,0,2,0,24.13199303252643,17.133701994309487,0.5230327106926698,8,30,0,0,A+,0,7,11,0,0,1,1,1,0
2020-02-08,Central,2,0,2,0,25.202295567565404,6.887263983590932,0.5863673935068636,5,26,1,0,A+,0,8,9,0,0,1,1,0,0
2020-02-09,Central,3,0,2,0,26.21546045616569,3.1104463873796155,0.4534875132627901,2,27,0,0,A+,0,2,4,0,0,1,1,0,0
2020-02-10,Central,4,0,2,0,21.429835838103457,22.39212997293573,0.5552342171160408,4,25,0,0,A+,0,2,9,0,0,1,0,0,0
2020-02-11,Central,5,1,2,0,23.56917709414821,8.74772832373191,0.522388038427887,5,10,0,0,A+,0,4,3,0,1,1,1,0,0
2020-02-12,Central,6,1,2,0,24.488129499626503,1.5004548700981957,0.636186716051451,5,5,0,0,A+,1,6,7,0,0,1,1,0,0
2020-02-13,Central,0,0,2,0,25.045341279136856,3.2897876087137696,0.6162710592495955,7,22,0,0,A+,0,4,7,0,0,1,1,0,0
2020-02-14,Central,1,0,2,0,22.48145493552176,1.6052428976690627,0.6267436102798172,3,22,0,0,A+,0,3,8,0,0,1,1,0,0
2020-02-15,Central,2,0,2,0,26.160139984505783,0.7106505321003399,0.6209628649659504,11,29,0,0,A+,0,9,9,0,0,1,1,0,0
2020-02-16,Central,3,0,2,0,26.374714724324736,5.244692476526078,0.4678592681456586,4,17,0,0,A+,0,4,4,0,0,1,1,0,1
2020-02-17,Central,4,0,2,0,29.066387435416623,2.2017868492556514,0.6432905288643624,3,20,0,0,A+,0,7,13,0,0,1,1,1,0
