date,hospital_id,dow,weekend,month,holiday,temp_c,rain_mm,flu_index,trauma_cases,scheduled_surgeries,donation_campaign,supply_shock,blood_type,stock_start,units_collected,units_used,wastage,stock_end,critical_stock,stockout_next_day,heavy_demand,heavy_demand_next_day
2023-01-01,Central,6,1,1,1,17.537652337744845,7.846071586393269,0.44391718490769305,10,8,0,0,A+,67,3,11,1,58,0,0,1,0
2023-01-02,Central,0,0,1,0,20.15036970744323,3.5214020367416734,0.6978033070939224,4,24,0,0,A+,58,5,6,0,57,0,0,0,0
2023-01-03,Central,1,0,1,0,19.39663739399373,2.5064519839508304,0.6492783538060396,3,25,0,0,A+,57,6,8,0,55,0,0,0,0
2023-01-04,Central,2,0,1,0,17.622055341942772,6.685825448014527,0.6185729058453375,4,23,0,0,A+,55,6,8,0,53,0,0,0,0
2023-01-05,Central,3,0,1,0,17.044359284451495,3.075571352162873,0.5488897721405326,2,26,0,0,A+,53,4,6,2,49,0,0,0,0
2023-01-06,Central,4,0,1,0,21.231133695107943,6.916749560660052,0.663467778815994,2,22,0,0,A+,49,3,5,1,46,0,0,0,0
2023-01-07,Central,5,1,1,0,18.662378606454777,6.444953447922637,0.6552388283254215,6,9,0,0,A+,46,1,9,0,38,0,0,0,0
2023-01-08,Central,6,1,1,0,19.923977381945996,4.248770250599729,0.6357224940823956,5,6,0,0,A+,38,5,7,0,36,0,0,0,1
2023-01-09,Central,0,0,1,0,18.969934742101362,2.8944684650024803,0.5714988823150859,3,22,0,0,A+,36,4,11,0,29,0,0,1,0
2023-01-10,Central,1,0,1,0,22.455475585746242,5.193902160307664,0.4843153716489236,6,23,1,0,A+,29,10,3,0,36,0,0,0,0
2023-01-11,Central,2,0,1,0,23.592573455680824,5.7461120928187865,0.5048989556541719,5,18,0,0,A+,36,2,9,0,29,0,0,0,0
2023-01-12,Central,3,0,1,0,23.735045331491914,17.731204977735892,0.6331527546620797,5,22,0,0,A+,29,6,8,0,27,0,0,0,0
2023-01-13,Central,4,0,1,0,21.377590167855132,1.322889763193518,0.5610953672741334,4,21,0,0,A+,27,3,8,0,22,0,0,0,0
2023-01-14,Central,5,1,1,0,20.095035440213227,19.10322742728198,0.6670791362989076,7,6,0,0,A+,22,3,10,0,15,0,0,0,0
2023-01-15,Central,6,1,1,0,25.98918744601307,4.853340818304855,0.6228660911682035,6,6,0,0,A+,15,4,3,0,16,0,0,0,0
2023-01-16,Central,0,0,1,0,26.483378209727327,3.5399079302018115,0.7169155433793761,6,24,0,0,A+,16,8,9,0,15,0,0,0,0
2023-01-17,Central,1,0,1,0,23.916172108868288,0.20812452606774481,0.5325415783765703,5,21,0,0,A+,15,6,3,0,18,0,0,0,0
2023-01-18,Central,2,0,1,0,23.78304245738312,11.84204777046192,0.5443245910663437,2,19,0,0,A+,18,4,9,0,13,0,0,0,0
2023-01-19,Central,3,0,1,0,28.86214632731697,16.541173786604446,0.5770093310760659,2,26,0,0,A+,13,3,7,1,8,1,0,0,0
2023-01-20,Central,4,0,1,0,17.330185978742833,3.5987035324778285,0.557644845810714,5,19,0,0,A+,8,2,3,0,7,1,1,0,0
2023-01-21,Central,5,1,1,0,30.090225293293717,1.0930076646148021,0.6273244440752408,5,10,0,1,A+,7,1,9,0,0,1,1,0,1
2023-01-22,Central,6,1,1,0,22.289900742556675,5.169007979060997,0.6377230818036111,6,10,0,0,A+,0,3,11,0,0,1,0,1,0
2023-01-23,Central,0,0,1,0,24.047923257025857,1.876757068221054,0.6208926173526526,2,24,0,0,A+,0,10,8,0,2,1,1,0,0
2023-01-24,Central,1,0,1,0,24.345882729115917,1.1927989430202275,0.6210973763485216,6,22,0,0,A+,2,3,5,0,0,1,1,0,0
2023-01-25,Central,2,0,1,0,22.405620597326603,0.403142389756975,0.7381880171331348,5,27,0,0,A+,0,3,9,0,0,1,1,0,0
